Exx	Eyy	Ezz	Eyz	Exz	Exy	Txx	Tyy	Tzz	Tyz	Txz	Txy	TwinRealVF	TwinMade	SlipTotal	Basal	Prismatic	Pyr1	Pyr2	Slip_share_Twin
1.26121e-14	8.36303	-0.471791	1.80301e-17	-1.57844e-18	-8.06696e-18	27.7229	111.368	-122.326	-0.87511	1.8231	-0.475033	0.393005	0.190918	4.71585	1.45407	1.31312	1.94866	0	0.0506977
1.26352e-14	8.40746	-0.471932	1.81734e-17	-1.6808e-18	-6.02422e-18	27.7557	111.392	-122.375	-0.875621	1.82187	-0.474562	0.393006	0.190918	4.724	1.4561	1.31507	1.95284	0	0.0506978
1.26581e-14	8.45211	-0.472072	1.74584e-17	-1.78988e-18	-8.59268e-18	27.7883	111.417	-122.424	-0.876124	1.82064	-0.474066	0.393008	0.190918	4.73216	1.45812	1.31702	1.95702	0	0.050698
1.26793e-14	8.49698	-0.472211	1.72108e-17	-1.69917e-18	-9.1951e-18	27.8208	111.441	-122.472	-0.876619	1.81941	-0.473549	0.393009	0.190918	4.74032	1.46014	1.31897	1.96121	0	0.0506982
1.27e-14	8.54208	-0.472349	1.68627e-17	-1.63036e-18	-9.46187e-18	27.8531	111.466	-122.52	-0.877109	1.81814	-0.473028	0.39301	0.190918	4.74847	1.46216	1.32091	1.9654	0	0.0506983
1.27244e-14	8.5874	-0.472487	1.73181e-17	-1.64872e-18	-8.34691e-18	27.8852	111.49	-122.568	-0.877597	1.81685	-0.472507	0.393012	0.190918	4.75663	1.46418	1.32286	1.96959	0	0.0506985
1.27448e-14	8.63295	-0.472625	1.72308e-17	-1.64253e-18	-8.82322e-18	27.9171	111.515	-122.616	-0.878083	1.81552	-0.471987	0.393013	0.190918	4.76479	1.4662	1.32481	1.97378	0	0.0506987
1.27682e-14	8.67873	-0.472761	1.7002e-17	-1.79286e-18	-8.95006e-18	27.9489	111.539	-122.664	-0.878567	1.81415	-0.471471	0.393014	0.190918	4.77295	1.46822	1.32675	1.97797	0	0.0506988
1.2791e-14	8.72474	-0.472897	1.58765e-17	-1.79349e-18	-1.1058e-17	27.9806	111.564	-122.711	-0.879051	1.81276	-0.470961	0.393016	0.190918	4.7811	1.47024	1.3287	1.98217	0	0.050699
1.28087e-14	8.77098	-0.473032	1.56064e-17	-1.55562e-18	-1.1534e-17	28.0121	111.588	-122.758	-0.879535	1.81134	-0.470462	0.393017	0.190918	4.78926	1.47226	1.33064	1.98636	0	0.0506992
1.28315e-14	8.81745	-0.473167	1.51903e-17	-1.47158e-18	-1.13962e-17	28.0436	111.612	-122.805	-0.880024	1.80991	-0.469985	0.393018	0.190918	4.79742	1.47427	1.33258	1.99056	0	0.0506993
1.28521e-14	8.86416	-0.473301	1.55115e-17	-1.51188e-18	-1.19813e-17	28.0751	111.637	-122.853	-0.880522	1.80849	-0.469549	0.393019	0.190918	4.80557	1.47629	1.33452	1.99476	0	0.0506995
